heure;latitude;longitude;magnitude;ville;type
2018-02-11T20:49:01.386000+00:00;46.147;7.477;2.0;Sion;earthquake
2018-02-11T20:40:13.077000+00:00;42.019;2.044;2.2;Vic;earthquake
2018-02-11T19:12:57.744000+00:00;44.413;7.32;1.2;Cuneo;earthquake
2018-02-11T18:04:27.347000+00:00;46.317;7.53;1.8;Sion;earthquake
2018-02-11T18:01:18.177000+00:00;46.326;7.525;1.7;Sion;earthquake
2018-02-11T17:27:59.141000+00:00;45.418;6.326;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-11T17:13:09.235000+00:00;45.861;7.017;1.7;Aosta;earthquake
2018-02-11T17:11:38.767000+00:00;44.741;6.619;0.4;Gap;quarry blast
2018-02-11T16:38:57.022000+00:00;45.425;6.313;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-11T16:30:37.851000+00:00;44.461;6.682;1.0;Gap;earthquake
2018-02-11T16:14:19.269000+00:00;45.343;6.683;0.8;Saint-Jean-de-Maurienne;earthquake
2018-02-11T15:29:32.175000+00:00;45.437;6.336;1.7;Saint-Jean-de-Maurienne;earthquake
2018-02-11T11:23:57.008000+00:00;42.852;-1.508;1.3;Pamplona;quarry blast
2018-02-11T09:11:16.267000+00:00;44.361;3.368;1.7;Millau;quarry blast
2018-02-11T08:43:39.002000+00:00;45.43;6.332;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-11T07:31:07.069000+00:00;32.747;140.518;5.1;Yokosuka;None
2018-02-11T07:05:09.215000+00:00;1.317;128.888;5.4;Manado;None
2018-02-11T05:33:09.850000+00:00;42.827;-1.501;1.7;Pamplona;earthquake
2018-02-11T05:22:40.395000+00:00;42.847;-1.499;1.3;Pamplona;quarry blast
2018-02-11T04:51:28.133000+00:00;44.473;6.626;0.9;Gap;earthquake
2018-02-11T04:45:35.633000+00:00;44.613;6.633;0.4;Gap;earthquake
2018-02-11T04:11:11.164000+00:00;-16.492;-74.002;5.4;Mollendo;None
2018-02-11T02:27:20.157000+00:00;45.425;6.341;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-11T01:22:40.154000+00:00;49.074;8.241;1.3;Rheinstetten;induced or triggered event
2018-02-11T00:48:25.972000+00:00;46.259;7.215;1.5;Sion;earthquake
2018-02-11T00:22:50.066000+00:00;44.59;6.818;1.4;Briançon;earthquake
2018-02-10T23:51:34.387000+00:00;45.427;6.333;1.9;Saint-Jean-de-Maurienne;earthquake
2018-02-10T20:29:09.580000+00:00;45.422;6.365;2.1;Saint-Jean-de-Maurienne;earthquake
2018-02-10T20:03:05.909000+00:00;36.141;129.193;5.0;Daegu;None
2018-02-10T18:59:10.276000+00:00;45.421;6.349;1.3;Saint-Jean-de-Maurienne;earthquake
2018-02-10T18:13:39.456000+00:00;48.047;8.004;1.4;Freiburg;earthquake
2018-02-10T17:05:36.404000+00:00;45.433;6.307;1.8;Saint-Jean-de-Maurienne;earthquake
2018-02-10T16:00:07.827000+00:00;46.558;155.442;4.7;Petropavlovsk-Kamchatskiy;None
2018-02-10T12:44:38.056000+00:00;48.321;8.909;2.4;Albstadt;earthquake
2018-02-10T11:57:25.550000+00:00;47.105;10.009;2.4;Feldkirch;earthquake
2018-02-10T06:54:16.026000+00:00;42.945;0.245;1.6;Tarbes;earthquake
2018-02-10T06:40:48.254000+00:00;44.555;5.02;1.7;Montélimar;earthquake
2018-02-10T05:45:54.939000+00:00;43.016;-0.119;1.2;Tarbes;earthquake
2018-02-10T03:29:36.196000+00:00;45.43;6.287;1.6;Saint-Jean-de-Maurienne;earthquake
2018-02-10T03:27:03.111000+00:00;45.438;6.293;1.5;Saint-Jean-de-Maurienne;earthquake
2018-02-10T03:04:02.718000+00:00;41.817;3.019;2.4;Girona;earthquake
2018-02-10T01:55:49.332000+00:00;44.572;6.779;0.7;Briançon;earthquake
2018-02-10T01:38:16.817000+00:00;45.453;6.28;1.5;Saint-Jean-de-Maurienne;earthquake
2018-02-10T01:36:41.980000+00:00;45.44;6.308;1.5;Saint-Jean-de-Maurienne;earthquake
